Task ID	Locality	Task	Information	Requirements	Pts	Comp%
916	Global	Make 15 Antifire Potions.	Make 15 antifire potions.	69 Herblore	80	0.6%
917	Global	Clean 50 Grimy Cadantine.	Clean 50 grimy cadantine.	65 Herblore	80	0.6%
918	Global	Clean 100 Grimy Lantadyme.	Clean 100 grimy lantadyme.	67 Herblore	80	0.9%
919	Global	Clean 100 Dwarf Weed.	Clean 100 grimy dwarf weed.	70 Herblore	80	0.5%
920	Global	Clean 100 Arbuck.	Clean 100 grimy arbuck.	77 Herblore, 77 Farming	80	0.1%
921	Global	Equip a Yew shortbow.	Equip a yew shortbow.	40 Ranged	80	10%
922	Global	Equip a Magic shortbow.	Equip a magic shortbow.	50 Ranged	80	5.3%
923	Global	Fletch some Broad Arrows or Bolts.	Fletch some broad arrows or bolts.	52 Fletching	80	1%
924	Global	Fletch 100 Yew shortbows (unstrung).	Fletch 100 Yew shortbows (unstrung).	65 Fletching	80	2.3%
925	Global	Fletch 100 Yew stocks.	Fletch 100 yew stocks.	69 Fletching	80	1.9%
926	Global	Fletch a Rune Crossbow.	Fletch a rune crossbow.	69 Fletching	80	2.2%
927	Global	Fletch 35 or more arrow shafts from a single log.	Fletch 35 or more arrow shafts from a single log.	60 Fletching	80	4.7%
928	Global	Fletch 500 Adamant arrows.	Fletch 500 adamant arrows.	60 Fletching	80	9.6%
929	Global	Fletch 750 Rune arrows.	Fletch 750 rune arrows.	75 Fletching	80	4.9%
930	Global	Fletch 75 Onyx bolts.	Fletch 75 onyx bolts.	73 Fletching	80	0.6%
931	Global	Equip a Rune Ceremonial Sword.	Equip a rune ceremonial sword.	N/A	80	0.1%
932	Global	Equip a full set of the Blacksmith's outfit.	Equip a full set of the blacksmith's outfit.	Total of 250% Artisans' Workshop respect	80	2.1%
933	Global	Power up the Artisan's Workshop with a Luminite Injector.	Power up the Artisan's Workshop with a luminite Injector.	100% Artisans' Workshop respect	80	2.6%
934	Global	Mine 50 Orichalcite Ore.	Mine 50 orichalcite ore.	60 Mining	80	55%
935	Global	Mine 50 Drakolith.	Mine 50 drakolith	60 Mining	80	41.4%
936	Global	Mine 60 Necrite Ore.	Mine 60 necrite ore.	70 Mining	80	37.6%
937	Global	Mine 60 Phasmatite.	Mine 60 phasmatite.	70 Mining	80	33%
938	Global	Harvest 20 Grimy Kwuarm.	Harvest 20 grimy kwuarm.	56 Farming	80	7.5%
939	Global	Catch 100 Shark.	Catch 100 raw sharks.	76 Fishing	80	1.5%
940	Global	Catch 100 Green Blubber Jellyfish.	Catch 100 green blubber jellyfish.	68 Fishing	80	2.2%
941	Global	Catch a Spirit Impling.	Catch a spirit impling.	54 Hunter	80	1.9%
942	Global	Equip a Slayer helmet.	Equip a Slayer helmet.	55 Crafting, 35 Slayer	80	0.2%
944	Global	Complete a Soul Reaper task.	Complete a Soul Reaper task.	N/A	80	20.6%
945	Global	Complete 5 Soul Reaper tasks.	Complete 5 Soul Reaper tasks.	N/A	80	1.1%
947	Global	Equip a full set of Orikalkum armour.	Equip a full set of orikalkum armour.	60 Smithing, 60 Defence	80	21.3%
948	Global	Equip a full set of Necronium armour.	Equip a full set of necronium armour.	70 Smithing, 70 Defence	80	11.2%
949	Global	Equip a full set of Black Dragonhide armour.	Equip a full set of black dragonhide armour.	60 Defence, 60 Crafting	80	4.1%
950	Global	Equip a full set of Royal Dragonhide armour.	Equip a full set of royal dragonhide armour.	65 Defence, 65 Crafting	80	2.1%
951	Global	Cast a Wave spell.	Cast a wave spell.	62 Magic	80	11.1%
952	Global	Burn 75 Yew logs.	Burn 75 yew logs.	60 Firemaking	80	3.4%
953	Global	Unlock the Ring of Quests from May's Quest Caravan.	Unlock the Ring of Quests from May's Quest Caravan.	75 Quest points	80	5.4%
954	Global	Complete 250 clues of any tier.	Complete 250 clues of any tier.	N/A	80	0.1%
955	Global	Complete 500 clues of any tier.	Complete 500 clues of any tier.	N/A	80	<0.1%
956	Global	Complete an Elite clue scroll.	Complete an elite clue scroll.	N/A	80	16.4%
957	Global	Complete 25 Elite clue scrolls.	Complete 25 elite clue scrolls.	N/A	80	1%
960	Global	Complete a Master clue scroll.	Complete a master clue scroll.	N/A	80	19.9%
964	Global	Collect 5 unique items for the Elite clue rewards collection log.	Collect 5 unique items for the elite clue rewards collection log.	N/A	80	12%
965	Global	Collect 10 unique items for the Elite clue rewards collection log.	Collect 10 unique items for the elite clue rewards collection log.	N/A	80	8.7%
966	Global	Collect 20 unique items for the Elite clue rewards collection log.	Collect 20 unique items for the elite clue rewards collection log.	N/A	80	5.6%
968	Global	Collect 5 unique items for the Master clue rewards collection log.	Collect 5 unique items for the master clue rewards collection log.	N/A	80	15.1%
1002	Global	Catch a Manta ray.	Catch a raw manta ray.	81 Fishing	80	1.6%
1101	Global	Reach level 70 in any skill.	Reach level 70 in any skill.	Any skill at level 70	80	62.6%
1102	Global	Reach level 80 in any skill.	Reach level 80 in any skill.	Any skill at level 80	80	45.8%
1106	Global	Reach at least level 40 in all non-elite skills.	Reach at least level 40 in all non-elite skills.	All skills except Invention at level 40	80	3.6%
1107	Global	Reach at least level 60 in all non-elite skills.	Reach at least level 60 in all non-elite skills.	All skills except Invention at level 60	80	0.2%
1108	Global	Reach at least level 70 in all non-elite skills.	Reach at least level 70 in all non-elite skills.	All skills except Invention at level 70	80	<0.1%
140	Global	Reach maximum combat level.	Reach maximum combat level.	138 Combat	150	1.6%
145	Global	Reach total level 2000.	Reach total level 2000.	2000 Skills Total level	150	<0.1%
821	Global	Complete 50 Slayer tasks.	Complete 50 Slayer tasks.	N/A	150	<0.1%
822	Global	Complete 75 Slayer tasks.	Complete 75 Slayer tasks.	N/A	150	<0.1%
890	Global	Obtain 125 Quest Points.	Obtain 125 quest points.	125 Quest points	150	0.2%
911	Global	Collect 75 unique items for the Hard clue rewards collection log.	Collect 75 unique items for the hard clue rewards collection log.	N/A	150	<0.1%
946	Global	Complete 10 Soul Reaper tasks.	Complete 10 Soul Reaper tasks.	N/A	150	0.2%
958	Global	Complete 75 Elite clue scrolls.	Complete 75 elite clue scrolls.	N/A	150	<0.1%
959	Global	Complete 150 Elite clue scrolls.	Complete 150 elite clue scrolls.	N/A	150	<0.1%
961	Global	Complete 25 Master clue scrolls.	Complete 25 master clue scrolls.	N/A	150	1.2%
962	Global	Complete 75 Master clue scrolls.	Complete 75 master clue scrolls.	N/A	150	<0.1%
967	Global	Collect 35 unique items for the Elite clue rewards collection log.	Collect 35 unique items for the elite clue rewards collection log.	N/A	150	2.5%
969	Global	Collect 10 unique items for the Master clue rewards collection log.	Collect 10 unique items for the master clue rewards collection log.	N/A	150	10.8%
970	Global	Collect 15 unique items for the Master clue rewards collection log.	Collect 15 unique items for the master clue rewards collection log.	N/A	150	8.3%
971	Global	Collect 30 unique items for the Master clue rewards collection log.	Collect 30 unique items for the master clue rewards collection log.	N/A	150	4.5%
972	Global	Make 25 Powerburst Potions.	Make 25 powerbursts.	92 Herblore	150	<0.1%
973	Global	Make 25 Bomb Potions.	Make 25 bomb potions.	93 Herblore	150	<0.1%
974	Global	Make 5 Perfect Plus Potions.	Make 5 perfect plus potions.	84 Herblore	150	<0.1%
975	Global	Make 15 Overload Potions.	Make 15 overloads.	96 Herblore	150	<0.1%
976	Global	Make a Spiritual Prayer Potion.	Make a spiritual prayer potion.	97 Herblore	150	<0.1%
977	Global	Fletch 200 Magic stocks.	Fletch 200 magic stocks.	82 Fletching	150	0.2%
978	Global	Fletch 750 Elder arrow shafts.	Fletch 750 elder arrow shafts.	90 Fletching	150	<0.1%
979	Global	Fletch 20 Elder shortbow (unstrung)	Fletch 20 unstrung elder shortbows	90 Fletching	150	<0.1%
980	Global	Fletch an Eternal magic shortbow (Martial) or Primal crossbow (martial).	Fletch an eternal magic shortbow (martial) or primal crossbow (martial).	95 Fletching	150	<0.1%
981	Global	Fletch 1,000 Eternal magic shafts.	Fletch 1,000 eternal magic shafts.	90 Fletching	150	<0.1%
982	Global	Fletch 1,500 Primal arrows.	Fletch 1,500 primal arrows.	92 Fletching	150	<0.1%
983	Global	Fletch an Eternal Magic Wood Box.	Fletch an eternal magic wood box.	90 Fletching	150	<0.1%
984	Global	Fletch 350 Rune darts.	Fletch 350 rune darts.	81 Fletching	150	0.1%
985	Global	Smith a Primal Ore Box.	Smith a primal ore box.	99 Smithing	150	<0.1%
986	Global	Smith 10,000 Armour Spikes.	Smith 10,000 armour spikes.	80 Smithing	150	<0.1%
987	Global	Smith 10,000 Primal Armour Spikes.	Smith 10,000 primal armour spikes.	99 Smithing	150	<0.1%
988	Global	Mine each of the 10 ores on the surface of the Daemonheim peninsula in under 5 minutes.	Mine each of the 10 ores on the surface of the Daemonheim peninsula in under 5 minutes.	80 Mining	150	<0.1%
989	Global	Mine 70 Banite Ore.	Mine 70 banite ore.	80 Mining	150	8.4%
990	Global	Mine 100 Dark or Light Animica.	Mine 100 dark or light animica.	90 Mining	150	0.3%
991	Global	Open 10 Metamorphic Geodes.	Open 10 metamorphic geodes. These are found randomly while mining from rocks which require at least level 60 Mining	60 Mining	150	0.3%
992	Global	Harvest 40 Grimy Lantadyme.	Harvest 40 grimy lantadyme.	73 Farming	150	<0.1%
993	Global	Harvest 50 Grimy Fellstalk.	Harvest 50 grimy fellstalk.	91 Farming	150	<0.1%
994	Global	Plant an Avocado seed in a bush patch.	Plant an avocado seed in a bush patch.	69 Farming	150	<0.1%
995	Global	Harvest 20 Lychee.	Harvest 20 lychee.	99 Farming	150	<0.1%
996	Global	Harvest 24 Starbloom Flowers.	Harvest 24 starbloom flowers.	84 Farming	150	<0.1%
997	Global	Catch 150 Rocktail.	Catch 150 raw rocktails.	90 Fishing	150	<0.1%
998	Global	Catch 200 Sailfish.	Catch 200 raw sailfish.	97 Fishing	150	<0.1%
999	Global	Catch 150 Blue Blubber Jellyfish.	Catch 150 raw blue blubber jellyfish.	91 Fishing	150	<0.1%
1000	Global	Obtain the highest boost available in the 'Fishing Frenzy' activity.	Obtain the highest boost available in the 'Fishing Frenzy' activity at Deep Sea Fishing.	94 Fishing	150	<0.1%
1001	Global	Catch a Cavefish.	Catch a raw cavefish.	85 Fishing, 80 Cooking	150	<0.1%
1003	Global	Manually bury or scatter each of the listed bones and ashes.	Complete the Bury All achievement.	90 Prayer	150	<0.1%
1004	Global	Activate Soul Split prayer.	Activate Soul Split prayer.	92 Prayer	150	<0.1%
1005	Global	Catch a Dragon Impling.	Catch a dragon impling.	80 Hunter	150	<0.1%
1006	Global	Catch a Kingly Impling.	Catch a kingly impling.	90 Hunter	150	<0.1%
1007	Global	Equip a full set of Bane armour.	Equip a full set of bane armour.	80 Smithing, 80 Defence	150	0.2%
1008	Global	Equip a full set of Elder Rune armour.	Equip a full set of elder rune armour.	90 Smithing, 90 Defence	150	0.2%
1009	Global	Cast a Surge spell.	Cast a Surge spell.	81 Magic	150	0.3%
1010	Global	Burn 100 Magic Logs	Burn 100 magic logs	75 Firemaking	150	0.1%
1011	Global	Burn 10 Elder logs.	Burn 10 elder logs.	90 Firemaking	150	<0.1%
1012	Global	Reach level 99 in the Agility skill.	Reach level 99 Agility.	99 Agility	150	<0.1%
1013	Global	Reach level 99 in the Archaeology skill.	Reach level 99 Archaeology.	99 Archaeology	150	<0.1%
1014	Global	Reach level 99 in the Attack skill.	Reach level 99 Attack.	99 Attack	150	<0.1%
1015	Global	Reach level 99 in the Construction skill.	Reach level 99 Construction.	99 Construction	150	<0.1%
1016	Global	Reach level 99 in the Cooking skill.	Reach level 99 Cooking.	99 Cooking	150	<0.1%
1017	Global	Reach level 99 in the Crafting skill.	Reach level 99 Crafting.	99 Crafting	150	<0.1%
1018	Global	Reach level 99 in the Defence skill.	Reach level 99 Defence.	99 Defence	150	<0.1%
1019	Global	Reach level 99 in the Divination skill.	Reach level 99 Divination.	99 Divination	150	<0.1%
1020	Global	Reach level 99 in the Dungeoneering skill.	Reach level 99 Dungeoneering.	99 Dungeoneering	150	<0.1%
1021	Global	Reach level 99 in the Farming skill.	Reach level 99 Farming.	99 Farming	150	<0.1%
1022	Global	Reach level 99 in the Firemaking skill. (Where arson is its own reward.)	Reach level 99 Firemaking.	99 Firemaking	150	<0.1%
1023	Global	Reach level 99 in the Fishing skill.	Reach level 99 Fishing.	99 Fishing	150	<0.1%
1024	Global	Reach level 99 in the Fletching skill.	Reach level 99 Fletching.	99 Fletching	150	<0.1%
1025	Global	Reach level 99 in the Herblore skill.	Reach level 99 Herblore.	99 Herblore	150	<0.1%
1026	Global	Reach level 99 in the Constitution skill.	Reach level 99 Constitution.	99 Constitution	150	<0.1%
1027	Global	Reach level 99 in the Hunter skill.	Reach level 99 Hunter.	99 Hunter	150	<0.1%
1028	Global	Reach level 99 in the Invention skill.	Reach level 99 Invention.	99 Invention	150	<0.1%
1029	Global	Reach level 99 in the Magic skill.	Reach level 99 Magic.	99 Magic	150	<0.1%
1030	Global	Reach level 99 in the Mining skill.	Reach level 99 Mining.	99 Mining	150	<0.1%
1031	Global	Reach level 99 in the Necromancy skill.	Reach level 99 Necromancy.	99 Necromancy	150	<0.1%
1032	Global	Reach level 99 in the Prayer skill.	Reach level 99 Prayer.	99 Prayer	150	<0.1%
1033	Global	Reach level 99 in the Ranged skill.	Reach level 99 Ranged.	99 Ranged	150	<0.1%
1034	Global	Reach level 99 in the Runecrafting skill.	Reach level 99 Runecrafting.	99 Runecrafting	150	<0.1%
1035	Global	Reach level 99 in the Slayer skill.	Reach level 99 Slayer.	99 Slayer	150	<0.1%
1036	Global	Reach level 99 in the Smithing skill.	Reach level 99 Smithing.	99 Smithing	150	<0.1%
1037	Global	Reach level 99 in the Strength skill.	Reach level 99 Strength.	99 Strength	150	<0.1%
1038	Global	Reach level 99 in the Summoning skill.	Reach level 99 Summoning.	99 Summoning	150	<0.1%
1039	Global	Reach level 99 in the Thieving skill.	Reach level 99 Thieving.	99 Thieving	150	<0.1%
1040	Global	Reach level 99 in the Woodcutting skill.	Reach level 99 Woodcutting.	99 Woodcutting	150	<0.1%
1041	Global	Reach level 110 in the Mining skill.	Reach level 110 Mining.	110 Mining	150	<0.1%
1042	Global	Reach level 110 in the Smithing skill.	Reach level 110 Smithing.	110 Smithing	150	<0.1%
1043	Global	Reach level 110 in the Crafting skill.	Reach level 110 Crafting	110 Crafting	150	<0.1%
1044	Global	Reach level 110 in the Firemaking skill.	Reach level 110 Firemaking.	110 Firemaking	150	<0.1%
1045	Global	Reach level 110 in the Fletching skill.	Reach level 110 Fletching.	110 Fletching	150	<0.1%
1046	Global	Reach level 110 in the Woodcutting skill.	Reach level 110 Woodcutting.	110 Woodcutting	150	<0.1%
1047	Global	Reach level 110 in the Runecrafting skill.	Reach level 110 Runecrafting.	110 Runecrafting	150	<0.1%
1048	Global	Reach level 120 in the Dungeoneering skill.	Reach level 120 Dungeoneering.	120 Dungeoneering	150	<0.1%
1049	Global	Reach level 120 in the Farming skill.	Reach level 120 Farming.	120 Farming	150	<0.1%
1050	Global	Reach level 120 in the Herblore skill.	Reach level 120 Herblore.	120 Herblore	150	<0.1%
1051	Global	Reach level 120 in the Slayer skill.	Reach level 120 Slayer.	120 Slayer	150	<0.1%
1052	Global	Reach level 120 in the Invention skill.	Reach level 120 Invention.	120 Invention	150	<0.1%
1053	Global	Reach level 120 in the Archaeology skill.	Reach level 120 Archaeology	120 Archaeology	150	<0.1%
1054	Global	Reach level 120 in the Necromancy skill.	Reach level 120 Necromancy.	120 Necromancy	150	<0.1%
1055	Global	Obtain 50 Million Agility XP.	Obtain 50 million Agility XP.	50,000,000 Agility XP	150	<0.1%
1056	Global	Obtain 50 Million Construction XP.	Obtain 50 million Construction XP.	50,000,000 Construction XP	150	<0.1%
1057	Global	Obtain 50 Million Cooking XP.	Obtain 50 million Cooking XP.	50,000,000 Cooking XP	150	<0.1%
1058	Global	Obtain 50 Million Crafting XP.	Obtain 50 million Crafting XP.	50,000,000 Crafting XP	150	<0.1%
1059	Global	Obtain 50 Million Farming XP.	Obtain 50 million Farming XP.	50,000,000 Farming XP	150	<0.1%
1060	Global	Obtain 50 Million Firemaking XP.	Obtain 50 million Firemaking XP.	50,000,000 Firemaking XP	150	<0.1%
1061	Global	Obtain 50 Million Fishing XP.	Obtain 50 million Fishing XP.	50,000,000 Fishing XP	150	<0.1%
1062	Global	Obtain 50 Million Fletching XP.	Obtain 50 million Fletching XP.	50,000,000 Fletching XP	150	<0.1%
1063	Global	Obtain 50 Million Herblore XP.	Obtain 50 million Herblore XP.	50,000,000 Herblore XP	150	<0.1%
1064	Global	Obtain 50 Million Hunter XP.	Obtain 50 million Hunter XP.	50,000,000 Hunter XP	150	<0.1%
1065	Global	Obtain 50 Million Mining XP.	Obtain 50 million Mining XP.	50,000,000 Mining XP	150	<0.1%
1066	Global	Obtain 50 Million Prayer XP.	Obtain 50 million Prayer XP.	50,000,000 Prayer XP	150	<0.1%
1067	Global	Obtain 50 Million Runecrafting XP.	Obtain 50 million Runecrafting XP.	50,000,000 Runecrafting XP	150	<0.1%
1068	Global	Obtain 50 Million Slayer XP.	Obtain 50 million Slayer XP.	50,000,000 Slayer XP	150	<0.1%
1069	Global	Obtain 50 Million Smithing XP.	Obtain 50 million Smithing XP.	50,000,000 Smithing XP	150	<0.1%
1070	Global	Obtain 50 Million Thieving XP.	Obtain 50 million Thieving XP.	50,000,000 Thieving XP	150	<0.1%
1071	Global	Obtain 50 Million Woodcutting XP.	Obtain 50 million Woodcutting XP.	50,000,000 Woodcutting XP	150	<0.1%
1072	Global	Obtain 50 Million Dungeoneering XP.	Obtain 50 million Dungeoneering XP.	50,000,000 Dungeoneering XP	150	<0.1%
1073	Global	Obtain 50 Million Invention XP.	Obtain 50 million Invention XP.	50,000,000 Invention XP	150	<0.1%
1074	Global	Obtain 50 Million Divination XP.	Obtain 50 million Divination XP.	50,000,000 Divination XP	150	<0.1%
1075	Global	Obtain 50 Million Archaeology XP.	Obtain 50 million Archaeology XP.	50,000,000 Archaeology XP	150	<0.1%
1076	Global	Obtain 50 Million Attack XP.	Obtain 50 million Attack XP.	50,000,000 Attack XP	150	<0.1%
1077	Global	Obtain 50 Million Constitution XP.	Obtain 50 million Constitution XP.	50,000,000 Constitution XP	150	<0.1%
1078	Global	Obtain 50 Million Strength XP.	Obtain 50 million Strength XP.	50,000,000 Strength XP	150	<0.1%
1079	Global	Obtain 50 Million Defence XP.	Obtain 50 million Defence XP.	50,000,000 Defence XP	150	<0.1%
1080	Global	Obtain 50 Million Ranged XP.	Obtain 50 million Ranged XP.	50,000,000 Ranged XP	150	<0.1%
1081	Global	Obtain 50 Million Magic XP.	Obtain 50 million Magic XP.	50,000,000 Magic XP	150	<0.1%
1082	Global	Obtain 50 Million Summoning XP.	Obtain 50 million Summoning XP.	50,000,000 Summoning XP	150	<0.1%
1083	Global	Obtain 50 Million Necromancy XP.	Obtain 50 million Necromancy XP.	50,000,000 Necromancy XP	150	<0.1%
1084	Global	Complete 750 clues of any tier.	Complete 750 clues of any tier.	N/A	150	<0.1%
1085	Global	Complete 1000 clues of any tier.	Complete 1000 clues of any tier.	N/A	150	<0.1%
1086	Global	Make 5 Elder Overload Salve Potions.	Make 5 elder overload salves.	107 Herblore	150	<0.1%
1087	Global	Equip an Eternal Magic shortbow.	Equip an eternal magic shortbow.	95 Ranged, 90 Defence	150	<0.1%
1094	Global	Equip a full set of Primal armour.	Equip a full set of primal armour.	99 Smithing, 99 Defence	150	<0.1%
1103	Global	Reach level 90 in any skill.	Reach level 90 in any skill.	Any skill at level 90	150	11.3%
1104	Global	Reach level 95 in any skill.	Reach level 95 in any skill.	Any skill at level 95	150	2.1%
1109	Global	Reach at least level 80 in all non-elite skills.	Reach at least level 80 in all non-elite skills.	All skills except Invention at level 80	150	<0.1%
1110	Global	Reach at least level 90 in all non-elite skills.	Reach at least level 90 in all non-elite skills.	All skills except Invention at level 90	150	<0.1%
447	Global	Help the Archivist recover all core memory data in the Hall of Memories.	Recover all core memory data in the Hall of Memories.	70 Divination	150	<0.1%
448	Global	Attune and hand all engrams in to the Memorial to Guthix.	Hand all engrams in to the Memorial to Guthix.	82 Divination	150	<0.1%
146	Global	Reach maximum total level.	Reach maximum total level.	Maximum total level	150	<0.1%
963	Global	Complete 150 Master clue scrolls.	Complete 150 master clue scrolls.	N/A	150	<0.1%
1088	Global	Work with Ramarno (in Camdozaal) to obtain a pickaxe of life and death.	Create a pickaxe of life and death.	99 Mining	150	<0.1%
1089	Global	Have something planted and living in every farming patch.	Have something planted and living in every farming patch.	99 Farming	150	<0.1%
1090	Global	Work with Ramarno (in Camdozaal) to obtain a hatchet of bloom and blight.	Create a hatchet of bloom and blight.	99 Woodcutting	150	<0.1%
1091	Global	Equip any Masterwork weapon.	Equip any masterwork weapon.	92 Attack	150	<0.1%
1092	Global	Equip a full set of Masterwork armour.	Equip a full set of masterwork armour.	99 Smithing, 92 Defence	150	<0.1%
1093	Global	Unlock the Richie pet from helping Richie accumulate wealth at the Grand Exchange.	Donate 100,000,000 GP to Richie.	100,000,000 gp	150	<0.1%
1095	Global	Obtain 200 Million XP in any single skill.	Obtain 200 Million XP in any single skill.	200,000,000 XP in any skill	150	<0.1%
1096	Global	Fill all of the Treasure Trail hidey-holes. You can find a complete list of hidey-holes at the noticeboard by Zaida.	Fill all of the Treasure Trail hidey-holes.	Various	150	<0.1%
1097	Global	Obtain a dye, or a piece of Third-age or Second-age gear from a clue scroll.	Obtain a dye, or a piece of Third-age or Second-age gear from a clue scroll.	N/A	150	<0.1%
1111	Global	Reach at least level 95 in all non-elite skills.	Reach at least level 95 in all non-elite skills.	All skills except Invention at level 95	150	<0.1%
403	Kandarin: Gnomes	Complete the Gnome Stronghold Agility Course.	Complete the Gnome Stronghold Agility Course.	1 Agility	10	39.8%
404	Kandarin: Feldip Hills	Catch a Crimson Swift in the Feldip Hills.	Catch a crimson swift in the Feldip Hills.	1 Hunter	10	7.1%
405	Kandarin: Ardougne	Defeat a Tortoise with riders in Kandarin.	Defeat a tortoise with riders in Kandarin.	N/A	10	29.3%
406	Kandarin: Seers Village	Complete the quest: You Are It.	Complete You Are It.	Quest: You Are It	10	16.5%
407	Kandarin: Gnomes	Let Brimstail teleport you to the Rune Essence mine.	Let Brimstail teleport you to the Rune Essence mine.	N/A	10	19.4%
408	Kandarin: Feldip Hills	Equip a Marksman hat.	Equip a marksman hat.	125 chompy bird kills	10	<0.1%
410	Kandarin: Ardougne	Learn how many beans make five (complete the Player Owned Farm tutorial).	Complete the player-owned farm tutorial at Manor Farm.	17 Farming, 20 Construction	10	39.2%
412	Kandarin: Ardougne	Teleport to the Wilderness using the lever in Ardougne.	Pull the lever in Ardougne.	N/A	10	49%
413	Kandarin: Yanille	Use a ring of duelling to teleport to Castle Wars.	Teleport to Castle Wars with a ring of duelling.	27 Magic, 27 Crafting	10	14.4%
414	Kandarin: Gnomes	Make a Pineapple Punch cocktail.	Make a pineapple punch cocktail.	8 Cooking	10	7.4%
415	Kandarin: Ardougne	Fletch 50 Maple shieldbow (unstrung) in Kandarin.	Fletch 50 unstrung maple shieldbows in Kandarin.	55 Fletching	30	15.5%
416	Kandarin: Ardougne	Pickpocket a Knight of Ardougne 50 times.	Pickpocket a knight of Ardougne 50 times.	55 Thieving	30	13%
417	Kandarin: Ardougne	Complete the Barbarian Outpost Agility Course.	Complete the Barbarian Outpost Agility Course.	35 Agility	30	5.7%
419	Kandarin: Ardougne	Catch a red salamander from the Hunter area outside of Ourania Altar.	Catch a red salamander.	59 Hunter	30	1.9%
420	Kandarin: Ardougne	Enter the Fishing Guild.	Enter the Fishing Guild.	68 Fishing	30	9.7%
421	Kandarin: Gnomes	Check a grown Papaya Tree inside Tree Gnome Stronghold.	Check a grown papaya tree inside Tree Gnome Stronghold.	57 Farming	30	3.1%
422	Kandarin: Ardougne	Kill a mithril dragon.	Defeat a mithril dragon.	N/A	30	2.9%
423	Kandarin: Yanille	Enter the Magic Guild in Yanille.	Enter the Wizards' Guild.	66 Magic	30	11.8%
424	Kandarin: Ardougne	Defeat a Fire Giant in Kandarin.	Defeat a fire giant in Kandarin.	N/A	30	17.4%
425	Kandarin: Seers Village	Use the Chivalry Prayer.	Use the Chivalry prayer.	60 Prayer, 65 Defence	30	0.9%
426	Kandarin: Yanille	Be on the winning side in a game of Castle Wars.	Win a game of Castle Wars.	N/A	30	0.2%
427	Kandarin: Seers Village	Complete the quest: Elemental Workshop II.	Complete Elemental Workshop II.	Quest: Elemental Workshop II	30	3.8%
428	Kandarin: Feldip Hills	Equip an Ogre Forester Hat.	Equip an ogre forester hat.	300 chompy bird kills	30	<0.1%
429	Kandarin: Ardougne	Complete the task set: Easy Ardougne.	Complete the Easy Ardougne achievements.	Achievement: Easy Ardougne	30	0.7%
430	Kandarin: Gnomes	Create the listed gnome cocktails.	Make one of each type of cocktail.	37 Cooking	30	3.4%
431	Kandarin: Ardougne	Earn a total amount of 10,000 beans.	Earn a total of 10,000 beans from selling animals in player-owned farm.	17 Farming	30	<0.1%
434	Kandarin: Ardougne	Complete the task set: Medium Ardougne.	Complete the Medium Ardougne achievements.	Achievement: Medium Ardougne	30	<0.1%
435	Kandarin: Ardougne	Throw coins into the deep sea whirlpool.	Throw some gold coins into the whirlpool at the Deep Sea Fishing platform.	68 Fishing	80	0.7%
436	Kandarin: Ardougne	Solve the Archaeology mystery: Leap of Faith.	Solve the Leap of Faith Archaeology mystery.	70 Archaeology	80	1%
437	Kandarin: Ardougne	Collect all breeds of chinchompa at the Player Owned Farm.	Breed all types of chinchompas.	54 Farming, 20 Construction	80	<0.1%
438	Kandarin: Ardougne	Equip one piece of the Fishing outfit.	Equip one piece of the fishing outfit.	140 fishing tokens	80	0.1%
439	Kandarin: Ardougne	Defeat the Penance Queen.	Defeat the Penance Queen.	N/A	80	<0.1%
440	Kandarin: Ardougne	Pickpocket a Hero.	Pickpocket a hero.	80 Thieving	80	25.9%
441	Kandarin: Ardougne	Catch 50 Red Chinchompas in Kandarin.	Catch 50 carnivorous chinchompas in Kandarin.	63 Hunter	80	0.4%
442	Kandarin: Feldip Hills	Equip an Ogre Expert hat.	Equip an Ogre Expert hat.	1,000 chompy bird kills	80	<0.1%
445	Kandarin: Seers Village	Use the Piety Prayer.	Use the Piety Prayer.	70 Prayer, 70 Defence	80	0.5%
446	Kandarin: Ardougne	Complete the task set: Hard Ardougne.	Complete the Hard Ardougne achievements.	Achievement: Hard Ardougne	80	<0.1%
449	Kandarin: Ardougne	Equip a dragon full helm.	Equip a dragon full helm.	60 Defence	150	<0.1%
450	Kandarin: Ardougne	Chop an Elder Tree until it no longer has logs remaining.	Chop an elder tree until it no longer has logs remaining.	90 Woodcutting	150	<0.1%
451	Kandarin: Ardougne	Obtain a Crystal Geode from a Crystal Tree.	Obtain a crystal geode from a crystal tree.	94 Farming	150	<0.1%
452	Kandarin: Ardougne	Reach Howl's Workshop in the Stormguard Citadel.	Partial completion of the Howl's Floating Workshop mystery.	95 Archaeology	150	<0.1%
453	Kandarin: Feldip Hills	Equip a Dragon Archer hat.	Equip a Dragon Archer hat.	2,000 chompy bird kills	150	<0.1%
454	Kandarin: Ardougne	Complete the task set: Elite Ardougne.	Complete the Elite Ardougne achievements.	Achievement: Elite Ardougne	150	<0.1%
455	Kandarin: Ardougne	Successfully breed a royal dragon.	Breed a royal dragon.	92 Farming	150	<0.1%
457	Kandarin: Ardougne	Defeat an Automaton after 'The World Wakes'.	Defeat an automaton after The World Wakes.	N/A	150	<0.1%
456	Kandarin: Feldip Hills	Equip an Expert Dragon Archer hat.	Equip an Expert Dragon Archer hat.	4,000 chompy bird kills	150	<0.1%
